이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,PER
주권,3.12,25,0,0,-10,3,-7,2,21,-12.9,-60,-57,-111,-54,-9,-4,-9,-13,-1,-5,-7,0,-3,-5.4,-2.09,-0.61,75.4,17.7,3.12,6.01,138
백정현,-0.27,3,1,1,4,1,3,-1,0,31.8,17,10,137,16,2,2,-1,20,0,3,-17,0,2,-0.34,-0.1,-0.06,-13.4,-17.8,-0.27,0.22,33
우규민,0.6,6,0,0,0,-2,6,15,-3,0.8,-8,-10,1,-12,-9,0,1,-2,0,1,-8,0,0,-1.55,0.01,-0.25,34.5,-22.2,0.6,1.18,0
소사,-3.02,-11,-1,-1,-11,0,-6,0,0,-87,-41,-31,-373,-107,-38,-1,-1,-5,-1,-2,-85,1,-3,0.3,0.73,-0.06,-31.7,-40.3,-3.02,1.22,
진명호,0.69,0,0,0,0,-2,-2,-1,0,1.9,-10,-6,-9,3,-7,0,-3,-11,-2,0,-14,0,0,-0.97,-1.07,-0.17,3.8,0.5,0.69,0.82,85
전상현,1.78,52,0,0,-2,1,4,0,15,50.1,14,14,190,26,4,1,2,16,2,2,55,0,2,-2.98,-2.15,-1.23,50.4,39.1,1.78,0.69,130.3
조상우,1.47,30,0,0,0,1,2,11,8,28.1,4,6,114,29,-1,-1,2,2,0,0,23,0,1,-1.13,-0.44,-0.04,19.5,-11.7,1.47,2.9,233.3
장필준,0.25,0,0,0,0,-2,-2,5,2,3.1,-6,-4,12,-1,-3,0,1,8,1,-3,-21,0,4,-0.72,0.52,0.03,-2.2,-35,0.25,1.57,26
김상수,0.76,9,0,0,0,1,2,-18,26,1,-13,-14,-1,-3,-4,0,-6,5,-1,1,-8,0,-6,-2.31,-1.17,0.01,45.2,9.2,0.76,1.43,50
이재학,-0.97,-5,-1,0,-6,5,-9,0,0,-22.9,-25,-26,-98,-24,-3,0,-7,-6,-2,-1,-25,0,0,-0.97,-0.74,0.01,2,-4.5,-0.97,1.35,12.2
김재윤,0.3,-19,0,0,0,-5,-3,-8,9,-13.8,-21,-19,-94,-49,-7,-1,-7,-3,-2,0,-24,0,-2,-2.3,-1.18,-0.67,66.8,7,0.3,1.75,20
오주원,1.47,-4,0,0,0,0,-3,17,-12,2,-20,-22,-3,-7,-4,0,-7,-6,-3,2,5,0,0,-3.87,-2.39,-0.29,95.3,54.8,1.47,2.54,33.3
최성영,1.02,-2,0,0,7,2,-1,-1,2,18,-4,-6,86,13,1,3,-8,23,-1,0,5,0,-3,-1.94,-1.32,0.12,18.8,4.8,1.02,0.3,63.8
차우찬,0.63,0,-1,0,-1,1,-2,0,0,-1.9,-32,-38,-32,4,-6,-3,-11,-20,-2,-5,-12,0,3,-1.97,-1.52,-0.08,16.8,8.6,0.63,2.64,0
김성민,1.48,4,0,0,-1,0,-1,0,0,8.1,-21,-17,4,-8,2,0,-6,-10,-2,-1,-7,0,0,-3.63,-2.21,-0.57,78.6,49.3,1.48,0.85,67.2
이용찬,-2.56,1,-1,0,2,-8,7,0,0,4.1,13,9,43,17,4,1,1,9,1,-2,0,0,-3,0.44,-0.25,0.14,-38.4,-16.9,-2.56,-0.36,7.7
최원준,1.73,28,0,0,3,1,2,1,4,45,1,5,172,30,7,1,-1,16,1,-1,33,0,1,-7.96,-3.86,-1.11,107.2,55.6,1.73,0.01,103.4
윤영삼,0.94,32,0,0,0,2,3,-1,3,33,5,4,127,29,5,2,3,6,0,0,24,0,2,-1.98,-0.04,-0.14,37.9,-28.9,0.94,-0.62,63.3
박민호,1.35,44,0,0,0,3,1,0,4,48,13,11,197,45,9,0,1,13,0,3,22,0,0,-12.75,-7.86,-0.89,124.6,58.3,1.35,-0.27,150
이형범,0.79,44,0,0,-4,5,2,19,10,7,-11,-13,20,-5,-5,0,-1,-5,0,8,9,0,-1,-2.51,-0.98,-0.34,54.1,-5,0.79,1.65,158.2
안영명,0.7,14,0,0,-1,-4,5,0,5,-4,-17,-15,-18,-1,4,1,-7,-2,-1,-1,0,0,-2,-1.81,-1.88,0.04,13.2,16.6,0.7,-2.44,0
양현,0.19,-4,0,0,3,0,-1,0,-4,8,-3,-4,27,0,2,1,-3,-2,0,0,5,0,0,-1.59,-2.11,-0.32,63.9,29.7,0.19,1.36,50
고영창,1.19,53,0,0,0,1,3,1,10,54,16,15,237,59,6,3,2,13,2,7,22,0,2,3.5,4.42,,,,1.19,,100
장시환,0.7,-5,0,0,27,5,13,0,-2,88.9,55,50,396,108,25,-1,7,39,1,-1,65,0,15,0.29,-0.69,0.06,-27.2,-7.4,0.7,-0.47,29
정영일,1.21,-7,0,0,0,-2,2,1,-5,-2,-18,-11,-30,-16,-7,1,-6,1,1,-4,2,0,-2,-2.11,-2.56,-0.28,33.5,32.3,1.21,0.85,10
이승현,1.24,15,0,0,0,1,0,0,6,20,-4,-7,65,5,0,0,-2,4,0,-1,17,0,0,-5.99,-3.43,-0.72,156.2,47.5,1.24,0.64,43
박시영,1.41,22,0,0,5,1,1,0,4,35.1,3,4,133,16,4,0,-1,13,0,3,41,0,2,-4.31,-3.04,-0.59,38.1,30.2,1.41,1.08,25
김태훈,-1.21,10,0,0,-4,-5,2,7,17,-24.8,-11,-9,-98,-26,-9,0,-4,-10,-4,2,-17,0,-4,0.17,-0.79,-0.06,-31,0.3,-1.21,0.44,33.3
